"fipscounty","AAR_county","AAR_norm","decile","bottom_decile","upper_decile","negative_shock","positive_shock","unaffected","aar_category","quartile","bottom_quartile","upper_quartile"
1001,-0.204139362889162,-1.16418049437486,1,"1","0",1,0,"0","0",1,"1","0"
1003,-0.101136366494104,-0.302916898371067,4,"0","0",0,0,"0","3",2,"0","0"
1005,-0.169002142124184,-0.870379244229126,2,"0","0",1,0,"0","0",1,"1","0"
1007,-0.227271524160402,-1.35760096850743,1,"1","0",1,0,"0","0",1,"1","0"
1009,0.0866869918859056,1.26757548256356,10,"0","1",0,0,"1","1",4,"0","1"
1011,0.163699253721567,1.91151653172073,10,"0","1",0,1,"0","2",4,"0","1"
1013,-0.201806099134546,-1.14467081793769,1,"1","0",1,0,"0","0",1,"1","0"
1015,-0.155212711406741,-0.755078378213545,2,"0","0",1,0,"0","0",1,"1","0"
1017,-0.167272962268894,-0.855920639019308,2,"0","0",1,0,"0","0",1,"1","0"
1019,-0.0252950669554581,0.331233103593231,8,"0","0",0,0,"1","1",3,"0","0"
1021,-0.176352210545627,-0.931837129738072,2,"0","0",1,0,"0","0",1,"1","0"
1023,-0.344466663767763,-2.33753272685426,1,"1","0",1,0,"0","0",1,"1","0"
1025,-0.202650928847543,-1.15173489473247,1,"1","0",1,0,"0","0",1,"1","0"
1027,-0.00332232271831566,0.514959066701822,8,"0","0",0,0,"1","1",4,"0","1"
1029,-0.00281219604003776,0.519224510938668,8,"0","0",0,0,"1","1",4,"0","1"
1031,-0.0253260990983291,0.330973627112972,8,"0","0",0,0,"1","1",3,"0","0"
1033,-0.23461305778198,-1.41898748995241,1,"1","0",1,0,"0","0",1,"1","0"
1035,-0.183678100816437,-0.993092848691796,2,"0","0",1,0,"0","0",1,"1","0"
1037,-0.287233469667056,-1.85897512865683,1,"1","0",1,0,"0","0",1,"1","0"
1039,-0.0972398463686835,-0.270335992450141,4,"0","0",0,0,"1","1",2,"0","0"
1041,-0.12133329431371,-0.471794302824681,3,"0","0",0,0,"0","3",2,"0","0"
