"fipscounty","FF_48","sum_emp","total_emp"
1001,1,35.6666666666667,10299
1001,6,1.33333333333333,10299
1001,7,314,10299
1001,8,9,10299
1001,9,61.8571428571429,10299
1001,10,2.85714285714286,10299
1001,11,1076,10299
1001,15,20,10299
1001,16,41.8571428571429,10299
1001,17,82,10299
1001,18,199.2,10299
1001,20,9,10299
1001,21,40.8571428571429,10299
1001,23,31.8571428571429,10299
1001,28,68.2,10299
1001,29,9.2,10299
1001,30,9.2,10299
1001,31,212.5,10299
1001,32,16,10299
1001,33,1001.66666666667,10299
1001,34,340.140476190476,10299
1001,35,4.5,10299
1001,38,632,10299
1001,40,113.5,10299
1001,41,599.416666666667,10299
1001,42,2141.25,10299
1001,43,2027,10299
1001,44,328.333333333333,10299
1001,45,67,10299
1001,46,71,10299
1001,47,22.5,10299
1001,48,14.5,10299
1001,49,695.607142857143,10299
1003,1,633.666666666667,55184
1003,2,137.333333333333,55184
1003,3,22.5,55184
1003,4,5,55184
1003,6,23.5,55184
1003,7,1137.91666666667,55184
1003,8,116,55184
1003,9,396.790476190476,55184
1003,10,0.857142857142857,55184
1003,11,5489.5,55184
1003,12,122.6,55184
1003,14,117.75,55184
1003,15,80.6666666666667,55184
1003,16,0.857142857142857,55184
1003,17,364.666666666667,55184
1003,18,1584.83333333333,55184
1003,19,377,55184
1003,20,35,55184
1003,21,531.190476190476,55184
1003,22,4.5,55184
1003,23,12.8571428571429,55184
1003,24,871,55184
1003,25,77.3333333333333,55184
1003,26,2,55184
1003,28,52,55184
1003,29,47,55184
1003,30,68,55184
1003,31,212,55184
1003,32,231.5,55184
1003,33,4247.58333333333,55184
1003,34,3727.85714285714,55184
1003,35,29.5,55184
1003,36,2.5,55184
1003,37,29.6,55184
1003,38,96.35,55184
1003,39,104.166666666667,55184
1003,40,1228.83333333333,55184
1003,41,4930.75,55184
1003,42,9969.41666666667,55184
1003,43,11212.5,55184
1003,44,906,55184
1003,45,500.5,55184
1003,46,1509,55184
1003,47,253.166666666667,55184
1003,48,189.1,55184
1003,49,3491.35714285714,55184
1005,1,49,6578
1005,2,1331.5,6578
1005,3,4.5,6578
1005,6,52.5,6578
1005,7,17.1333333333333,6578
1005,8,9,6578
1005,11,639,6578
1005,14,142,6578
1005,15,79.5,6578
1005,17,726.5,6578
1005,18,54.4333333333333,6578
1005,22,129,6578
1005,28,53.1,6578
1005,29,3.6,6578
1005,30,3.6,6578
1005,31,174,6578
1005,32,10.3,6578
1005,33,229.8,6578
1005,34,267.066666666667,6578
1005,35,2,6578
1005,36,287,6578
1005,40,378.333333333333,6578
1005,41,405.833333333333,6578
1005,42,607.5,6578
1005,43,548.5,6578
1005,44,134,6578
1005,45,39,6578
1005,46,18,6578
1005,47,6,6578
1005,48,0.333333333333333,6578
1005,49,175.966666666667,6578
1007,1,9.33333333333333,3123
1007,7,3.5,3123
1007,8,20,3123
1007,11,501.5,3123
1007,14,61,3123
1007,15,3,3123
1007,17,297,3123
1007,18,369.5,3123
1007,21,16,3123
1007,28,23,3123
1007,31,54.5,3123
1007,33,618,3123
1007,34,100.333333333333,3123
1007,40,143.5,3123
1007,41,178.5,3123
1007,42,357,3123
1007,43,130.5,3123
1007,44,61,3123
1007,45,14,3123
1007,48,37,3123
1007,49,124.833333333333,3123
1009,1,32,6759
1009,2,612,6759
1009,7,57,6759
1009,8,9,6759
1009,9,3.33333333333333,6759
1009,10,43.5,6759
1009,11,710,6759
1009,12,3.33333333333333,6759
1009,14,20,6759
1009,15,23.3333333333333,6759
1009,16,43.5,6759
1009,17,111.833333333333,6759
