"countyid","year","laborforce","nicivpop","lfpr"
1001,1990,16908,24678.8,68.5122453279738
1001,1991,16928,25455.6,66.5001021386257
1001,1992,17656,26197,67.3970301942971
1001,1993,18234,26910.4,67.7581901421012
1001,1994,18820,27808.6,67.6769057054293
1001,1995,19647,28443.6,69.0735349955702
1001,1996,20214,29286.2,69.0222698745484
1001,1997,21098,30028,70.2610896496603
1001,1998,21628,30772.6,70.2833039782144
1001,1999,22433,31379,71.4904872685554
1001,2000,21720,32204.8,67.4433624801272
1001,2001,21955,32969.4,66.592052023998
1001,2002,22094,33648.2,65.6617590242569
1001,2003,22604,34364.2,65.7777570844076
1001,2004,23218,35508,65.3880815590853
1001,2005,23949,36486.2,65.6385153838986
1001,2006,24398,37777.8,64.5829031865275
1001,2007,24383,38643.4,63.097450017338
1001,2008,24687,39390.8,62.6719944758675
1001,2009,24703,40165.4,61.5031843327839
1001,2010,25713,41049.6,62.6388564078578
1001,2011,25836,41666,62.0073921182739
1001,2012,25724,41575,61.8737221888154
1001,2013,25731,41729.4,61.6615623517232
1001,2014,25597,42124.6,60.76496868813
1001,2015,25308,42328.4,59.7896447775016
1001,2016,25710,42841,60.0126047477883
1001,2017,25898,43071,60.1286248287711
1001,2018,26081,43273.2,60.2705600695118
1001,2019,26281,43698.6,60.1415148311388
1003,1990,46824,75036.2,62.4018806922525
1003,1991,49426,77899.2,63.4486618604556
1003,1992,52209,81288.2,64.227034182083
1003,1993,55079,85042.6,64.7663641516134
1003,1994,57891,89058.2,65.0035594700993
1003,1995,60820,92353.2,65.8558663912025
1003,1996,63829,96063.4,66.4446605054578
1003,1997,67150,99721,67.3378726647346
1003,1998,69285,103364.6,67.0297181046509
1003,1999,70912,105899.4,66.9616636166022
1003,2000,69533,108977.8,63.8047382127369
1003,2001,69161,112070.4,61.7121023927817
1003,2002,69169,114675.6,60.3171032024249
1003,2003,72299,117902.4,61.3210587740368
1003,2004,74772,121853.4,61.3622598959077
1003,2005,76804,125784.8,61.0598418886861
1003,2006,79711,131381.4,60.6714496877031
1003,2007,82659,134683,61.3730017893869
