​All Ages ,age_per_mm_1,age_per_mm_2
age_01_04,55317,56092.08037
age_05_09,72533,73549.30429
age_10_14,73032,74055.29608
age_15_19,72169,73180.20406
age_20_24,66478,67409.46397
age_25_29,64529,65433.15534
age_30_34,71044,72039.441
age_35_39,80762,81893.60585
age_40_44,81851,82997.86449
age_45_49,72118,73128.48947
age_50_54,62716,63594.75229
age_55_59,48454,49132.91867
age_60_64,38793,39336.55248
age_65_69,34264,34744.09389
age_70_74,31773,32218.19096
age_75_79,26999,27377.29952
age_80_84,17842,18091.99519
age_85_plus,15508,15725.29209
total,986182,1000000
